unix,date,symbol,open,high,low,close,Volume XLM,Volume USD
1599609600,2020-09-09 00:00:00,XLM/USD,0.07738,0.07768,0.07551,0.07683,557426.62,7291498
1599523200,2020-09-08 00:00:00,XLM/USD,0.07862,0.07954,0.07504,0.07738,3369760.07,43615312
1599436800,2020-09-07 00:00:00,XLM/USD,0.07739,0.07914,0.07392,0.07862,3256690.7,42369008
1599350400,2020-09-06 00:00:00,XLM/USD,0.07557,0.07896,0.07259,0.07739,4430932.37,58192356
1599264000,2020-09-05 00:00:00,XLM/USD,0.08076,0.08299,0.07264,0.07557,5778349.35,74939464
1599177600,2020-09-04 00:00:00,XLM/USD,0.0853,0.0853,0.0754,0.08076,6910974.79,87183389
1599091200,2020-09-03 00:00:00,XLM/USD,0.0924,0.09301,0.08248,0.0853,6726134.81,77402914
1599004800,2020-09-02 00:00:00,XLM/USD,0.09883,0.0998,0.09,0.0924,6785209.59,72616014
1598918400,2020-09-01 00:00:00,XLM/USD,0.09674,0.1013,0.09559,0.09883,4921926.88,49744951
1598832000,2020-08-31 00:00:00,XLM/USD,0.0982,0.09888,0.0951,0.09674,3554154.41,36611911
1598745600,2020-08-30 00:00:00,XLM/USD,0.09626,0.09839,0.09616,0.0982,2862396.49,29373496
1598659200,2020-08-29 00:00:00,XLM/USD,0.0957,0.09759,0.09445,0.09626,2535076.92,26412668
1598572800,2020-08-28 00:00:00,XLM/USD,0.0938,0.09674,0.09254,0.0957,3338172.26,35121946
1598486400,2020-08-27 00:00:00,XLM/USD,0.09805,0.09891,0.09031,0.0938,6031250.57,63825819
1598400000,2020-08-26 00:00:00,XLM/USD,0.09727,0.1004,0.09602,0.09805,3807317.28,38782463
1598313600,2020-08-25 00:00:00,XLM/USD,0.103,0.1032,0.09508,0.09727,5842636.82,59036945
1598227200,2020-08-24 00:00:00,XLM/USD,0.1029,0.1065,0.101,0.103,4912117.17,47254636
1598140800,2020-08-23 00:00:00,XLM/USD,0.1023,0.1032,0.0985,0.1029,4408500.0,43633894
1598054400,2020-08-22 00:00:00,XLM/USD,0.09964,0.1027,0.09696,0.1023,6043595.36,60554636
1597968000,2020-08-21 00:00:00,XLM/USD,0.1074,0.1094,0.099,0.09964,12170372.85,116886194
1597881600,2020-08-20 00:00:00,XLM/USD,0.1021,0.1075,0.1003,0.1074,7614340.54,73173401
1597795200,2020-08-19 00:00:00,XLM/USD,0.1083,0.1097,0.09863,0.1021,11055065.51,106889050
1597708800,2020-08-18 00:00:00,XLM/USD,0.1138,0.1169,0.1053,0.1083,8903504.35,80047404
1597622400,2020-08-17 00:00:00,XLM/USD,0.1152,0.1197,0.11,0.1138,20143596.34,175372071
1597536000,2020-08-16 00:00:00,XLM/USD,0.1071,0.1166,0.1037,0.1152,17591188.35,160332791
1597449600,2020-08-15 00:00:00,XLM/USD,0.1049,0.1094,0.1031,0.1071,9036321.75,85088569
1597363200,2020-08-14 00:00:00,XLM/USD,0.1013,0.1072,0.1002,0.1049,8219242.09,78843050
1597276800,2020-08-13 00:00:00,XLM/USD,0.1014,0.1027,0.09665,0.1013,7263573.28,72600310
1597190400,2020-08-12 00:00:00,XLM/USD,0.1002,0.1025,0.0955,0.1014,5755113.28,57503212
1597104000,2020-08-11 00:00:00,XLM/USD,0.1064,0.1085,0.09621,0.1002,6603694.87,64697870
1597017600,2020-08-10 00:00:00,XLM/USD,0.1052,0.1069,0.1029,0.1064,4887894.78,46343801
1596931200,2020-08-09 00:00:00,XLM/USD,0.1034,0.1073,0.1026,0.1052,5778828.38,55255505
1596844800,2020-08-08 00:00:00,XLM/USD,0.1031,0.1044,0.1014,0.1034,3790828.07,36891537
1596758400,2020-08-07 00:00:00,XLM/USD,0.1063,0.1079,0.09948,0.1031,5107543.88,49082627
1596672000,2020-08-06 00:00:00,XLM/USD,0.1076,0.1082,0.1044,0.1063,4526487.5,42345988
1596585600,2020-08-05 00:00:00,XLM/USD,0.1101,0.1117,0.1064,0.1076,5229420.06,48331569
1596499200,2020-08-04 00:00:00,XLM/USD,0.1052,0.1118,0.1052,0.1101,7063101.69,65168125
1596412800,2020-08-03 00:00:00,XLM/USD,0.1026,0.1093,0.1013,0.1052,7346741.5,69092706
1596326400,2020-08-02 00:00:00,XLM/USD,0.1078,0.1167,0.095,0.1026,16426262.57,153760220
1596240000,2020-08-01 00:00:00,XLM/USD,0.09703,0.109,0.09682,0.1078,14288075.89,137906512
1596153600,2020-07-31 00:00:00,XLM/USD,0.09641,0.09722,0.095,0.09703,3664956.72,38022603
1596067200,2020-07-30 00:00:00,XLM/USD,0.09508,0.09783,0.09438,0.09641,3418811.28,35616665
1595980800,2020-07-29 00:00:00,XLM/USD,0.09726,0.09981,0.09454,0.09508,5686629.28,58499728
1595894400,2020-07-28 00:00:00,XLM/USD,0.09487,0.09861,0.09344,0.09726,5734652.72,59965294
1595808000,2020-07-27 00:00:00,XLM/USD,0.09912,0.1001,0.08826,0.09487,10710417.66,113250729
1595721600,2020-07-26 00:00:00,XLM/USD,0.1008,0.106,0.09733,0.09912,7352968.93,72618714
1595635200,2020-07-25 00:00:00,XLM/USD,0.09586,0.1015,0.09519,0.1008,5319962.37,53801591
1595548800,2020-07-24 00:00:00,XLM/USD,0.09834,0.09835,0.0949,0.09586,3878157.25,40239774
1595462400,2020-07-23 00:00:00,XLM/USD,0.09766,0.1017,0.09688,0.09834,7021128.61,70829571
1595376000,2020-07-22 00:00:00,XLM/USD,0.09655,0.09811,0.09405,0.09766,3873238.5,40230253
1595289600,2020-07-21 00:00:00,XLM/USD,0.09432,0.09841,0.0939,0.09655,5623410.3,58441915
1595203200,2020-07-20 00:00:00,XLM/USD,0.1001,0.1019,0.09323,0.09432,6513694.53,66455940
1595116800,2020-07-19 00:00:00,XLM/USD,0.1009,0.1024,0.09646,0.1001,5487938.65,55069794
1595030400,2020-07-18 00:00:00,XLM/USD,0.1039,0.1044,0.09878,0.1009,7794895.61,76795923
1594944000,2020-07-17 00:00:00,XLM/USD,0.1019,0.1078,0.09842,0.1039,19792389.26,190250232
1594857600,2020-07-16 00:00:00,XLM/USD,0.09431,0.104,0.08857,0.1019,15740045.83,162952121
1594771200,2020-07-15 00:00:00,XLM/USD,0.09223,0.09578,0.08725,0.09431,10351812.81,112490985
1594684800,2020-07-14 00:00:00,XLM/USD,0.09005,0.09281,0.08503,0.09223,6599827.99,73488192
1594598400,2020-07-13 00:00:00,XLM/USD,0.09539,0.09815,0.087,0.09005,9426978.21,101065718
1594512000,2020-07-12 00:00:00,XLM/USD,0.09422,0.09766,0.0896,0.09539,9265285.88,98812938
1594425600,2020-07-11 00:00:00,XLM/USD,0.08896,0.1014,0.08861,0.09422,16192667.37,169440743
1594339200,2020-07-10 00:00:00,XLM/USD,0.09052,0.091,0.08228,0.08896,11123543.57,127870259
1594252800,2020-07-09 00:00:00,XLM/USD,0.08557,0.099,0.08325,0.09052,26942224.07,295962219
1594166400,2020-07-08 00:00:00,XLM/USD,0.0734,0.086,0.07242,0.08557,16552756.45,205385734
1594080000,2020-07-07 00:00:00,XLM/USD,0.07166,0.07431,0.07009,0.0734,4334503.96,60116795
1593993600,2020-07-06 00:00:00,XLM/USD,0.0673,0.07218,0.06648,0.07166,3353471.5,48071009
1593907200,2020-07-05 00:00:00,XLM/USD,0.06796,0.06803,0.06485,0.0673,1492438.89,22438478
1593820800,2020-07-04 00:00:00,XLM/USD,0.06709,0.06853,0.0665,0.06796,1311764.67,19500313
1593734400,2020-07-03 00:00:00,XLM/USD,0.06763,0.06864,0.06645,0.06709,1887060.73,28012919
1593648000,2020-07-02 00:00:00,XLM/USD,0.06838,0.07097,0.06561,0.06763,3256674.32,47243422
1593561600,2020-07-01 00:00:00,XLM/USD,0.06689,0.06935,0.06604,0.06838,1957939.08,28881061
1593475200,2020-06-30 00:00:00,XLM/USD,0.06508,0.06738,0.064,0.06689,1936976.14,29343101
1593388800,2020-06-29 00:00:00,XLM/USD,0.06421,0.06543,0.06292,0.06508,1781290.74,27674936
1593302400,2020-06-28 00:00:00,XLM/USD,0.06278,0.06502,0.06161,0.06421,1806716.59,28587354
1593216000,2020-06-27 00:00:00,XLM/USD,0.06685,0.067,0.059,0.06278,3779339.07,59877697
1593129600,2020-06-26 00:00:00,XLM/USD,0.06746,0.06844,0.06591,0.06685,1730352.21,25787589
1593043200,2020-06-25 00:00:00,XLM/USD,0.06888,0.06895,0.06511,0.06746,2005087.92,29795323
1592956800,2020-06-24 00:00:00,XLM/USD,0.07093,0.07251,0.06784,0.06888,2189816.56,31351294
1592870400,2020-06-23 00:00:00,XLM/USD,0.0719,0.07234,0.07001,0.07093,2280790.74,32029189
1592784000,2020-06-22 00:00:00,XLM/USD,0.06845,0.072,0.06838,0.0719,2010510.66,28483572
1592697600,2020-06-21 00:00:00,XLM/USD,0.06979,0.07018,0.06834,0.06845,967543.71,13951420
1592611200,2020-06-20 00:00:00,XLM/USD,0.06953,0.07025,0.0682,0.06979,1672273.35,24110888
1592524800,2020-06-19 00:00:00,XLM/USD,0.07051,0.07094,0.06843,0.06953,2361950.25,33920794
1592438400,2020-06-18 00:00:00,XLM/USD,0.0718,0.07201,0.069,0.07051,1923406.7,27200002
1592352000,2020-06-17 00:00:00,XLM/USD,0.0714,0.0741,0.06955,0.0718,2831051.87,39487816
1592265600,2020-06-16 00:00:00,XLM/USD,0.07108,0.07207,0.06985,0.0714,2168761.69,30593455
1592179200,2020-06-15 00:00:00,XLM/USD,0.07069,0.07177,0.0654,0.07108,5547032.72,80928260
1592092800,2020-06-14 00:00:00,XLM/USD,0.0741,0.07416,0.07022,0.07069,1838844.5,25507159
1592006400,2020-06-13 00:00:00,XLM/USD,0.07286,0.07437,0.07154,0.0741,1738160.83,23752487
1591920000,2020-06-12 00:00:00,XLM/USD,0.07132,0.0748,0.0708,0.07286,3013566.64,41406404
1591833600,2020-06-11 00:00:00,XLM/USD,0.07891,0.07931,0.069,0.07132,7597084.1,102985135
1591747200,2020-06-10 00:00:00,XLM/USD,0.07818,0.07921,0.07771,0.07891,3603062.59,45897350
1591660800,2020-06-09 00:00:00,XLM/USD,0.08017,0.08046,0.0774,0.07818,3265939.28,41531585
1591574400,2020-06-08 00:00:00,XLM/USD,0.07891,0.08034,0.07801,0.08017,2313903.25,29159775
1591488000,2020-06-07 00:00:00,XLM/USD,0.0796,0.08067,0.07549,0.07891,3306633.14,42258975
1591401600,2020-06-06 00:00:00,XLM/USD,0.07893,0.08112,0.07826,0.0796,3126302.15,39124187
1591315200,2020-06-05 00:00:00,XLM/USD,0.08198,0.08298,0.07885,0.07893,4046075.96,50180048
1591228800,2020-06-04 00:00:00,XLM/USD,0.08274,0.08633,0.0808,0.08198,5937483.8,71391326
1591142400,2020-06-03 00:00:00,XLM/USD,0.07949,0.08319,0.07663,0.08274,4161147.74,51865584
1591056000,2020-06-02 00:00:00,XLM/USD,0.07582,0.0843,0.0725,0.07949,10051878.09,126955775
1590969600,2020-06-01 00:00:00,XLM/USD,0.07058,0.07647,0.06976,0.07582,5444914.98,73311103
1590883200,2020-05-31 00:00:00,XLM/USD,0.07244,0.07631,0.06885,0.07058,6765284.91,92023050
1590796800,2020-05-30 00:00:00,XLM/USD,0.06781,0.073,0.0671,0.07244,2667675.43,38010082
1590710400,2020-05-29 00:00:00,XLM/USD,0.06902,0.06999,0.06701,0.06781,1908173.31,28034389
1590624000,2020-05-28 00:00:00,XLM/USD,0.06599,0.06991,0.06567,0.06902,2221759.82,32888611
1590537600,2020-05-27 00:00:00,XLM/USD,0.06501,0.0675,0.06453,0.06599,2173516.76,32834592
1590451200,2020-05-26 00:00:00,XLM/USD,0.0662,0.06643,0.06358,0.06501,1481394.91,22823761
1590364800,2020-05-25 00:00:00,XLM/USD,0.064,0.06622,0.06318,0.0662,2161772.39,33301874
1590278400,2020-05-24 00:00:00,XLM/USD,0.06719,0.06824,0.064,0.064,1899271.0,28563309
1590192000,2020-05-23 00:00:00,XLM/USD,0.06813,0.06924,0.06666,0.06719,2267665.46,33464628
1590105600,2020-05-22 00:00:00,XLM/USD,0.0665,0.06939,0.06533,0.06813,3629619.31,53630974
1590019200,2020-05-21 00:00:00,XLM/USD,0.07089,0.0717,0.0642,0.0665,4688395.53,69747246
1589932800,2020-05-20 00:00:00,XLM/USD,0.06979,0.072,0.0675,0.07089,3560811.15,50632759
1589846400,2020-05-19 00:00:00,XLM/USD,0.07024,0.07029,0.06834,0.06979,1905305.64,27474127
1589760000,2020-05-18 00:00:00,XLM/USD,0.0688,0.07142,0.06862,0.07024,2316443.84,33067527
1589673600,2020-05-17 00:00:00,XLM/USD,0.06812,0.07178,0.0678,0.0688,2405220.07,34373134
1589587200,2020-05-16 00:00:00,XLM/USD,0.0673,0.06846,0.06655,0.06812,1735402.24,25592101
1589500800,2020-05-15 00:00:00,XLM/USD,0.06928,0.0698,0.06583,0.0673,3133192.3,45796011
1589414400,2020-05-14 00:00:00,XLM/USD,0.07,0.07075,0.068,0.06928,3192751.28,45895804
1589328000,2020-05-13 00:00:00,XLM/USD,0.07026,0.07136,0.06802,0.07,3910456.49,56094325
1589241600,2020-05-12 00:00:00,XLM/USD,0.06244,0.07065,0.06212,0.07026,6266038.92,92671289
1589155200,2020-05-11 00:00:00,XLM/USD,0.06428,0.06516,0.0605,0.06244,4207874.89,66938628
1589068800,2020-05-10 00:00:00,XLM/USD,0.07142,0.07142,0.06,0.06428,7977287.75,124259538
1588982400,2020-05-09 00:00:00,XLM/USD,0.07255,0.0737,0.07134,0.07142,4326579.81,59770087
1588896000,2020-05-08 00:00:00,XLM/USD,0.07229,0.07465,0.07054,0.07255,6028198.18,83027308
1588809600,2020-05-07 00:00:00,XLM/USD,0.06989,0.07358,0.069,0.07229,4334063.35,60054087
1588723200,2020-05-06 00:00:00,XLM/USD,0.07224,0.07333,0.0697,0.06989,3076106.09,42689665
1588636800,2020-05-05 00:00:00,XLM/USD,0.07347,0.07447,0.071,0.07224,2722131.44,37470805
1588550400,2020-05-04 00:00:00,XLM/USD,0.07317,0.07408,0.06761,0.07347,4978122.75,70262177
1588464000,2020-05-03 00:00:00,XLM/USD,0.07568,0.077,0.07164,0.07317,4142423.87,55953747
1588377600,2020-05-02 00:00:00,XLM/USD,0.07295,0.07636,0.07139,0.07568,4527396.52,61274421
1588291200,2020-05-01 00:00:00,XLM/USD,0.06759,0.0735,0.06759,0.07295,4610332.43,64560608
1588204800,2020-04-30 00:00:00,XLM/USD,0.07231,0.07474,0.06576,0.06759,8218151.22,116548065
1588118400,2020-04-29 00:00:00,XLM/USD,0.06872,0.07386,0.06822,0.07231,8578783.92,120686701
1588032000,2020-04-28 00:00:00,XLM/USD,0.0673,0.0716,0.0665,0.06872,8527164.47,123640608
1587945600,2020-04-27 00:00:00,XLM/USD,0.062,0.06947,0.06128,0.0673,5795438.59,89347440
1587859200,2020-04-26 00:00:00,XLM/USD,0.06183,0.06299,0.06085,0.062,2980305.28,48057727
1587772800,2020-04-25 00:00:00,XLM/USD,0.06122,0.06325,0.06067,0.06183,2956852.02,47507576
1587686400,2020-04-24 00:00:00,XLM/USD,0.06215,0.0662,0.06023,0.06122,6537393.33,103916805
1587600000,2020-04-23 00:00:00,XLM/USD,0.055,0.06703,0.055,0.06215,12368124.27,200561418
1587513600,2020-04-22 00:00:00,XLM/USD,0.05094,0.055,0.05072,0.055,3303545.36,61883700
1587427200,2020-04-21 00:00:00,XLM/USD,0.0495,0.05193,0.04926,0.05094,1749936.76,34611145
1587340800,2020-04-20 00:00:00,XLM/USD,0.04889,0.0533,0.04862,0.0495,3854540.8,75521101
1587254400,2020-04-19 00:00:00,XLM/USD,0.0506,0.05079,0.04831,0.04889,1165305.1,23500774
1587168000,2020-04-18 00:00:00,XLM/USD,0.04866,0.05124,0.04866,0.0506,1623555.76,32425269
1587081600,2020-04-17 00:00:00,XLM/USD,0.04925,0.05,0.04825,0.04866,1152347.26,23543717
1586995200,2020-04-16 00:00:00,XLM/USD,0.04619,0.05,0.04451,0.04925,2785015.13,58263817
1586908800,2020-04-15 00:00:00,XLM/USD,0.04814,0.04875,0.04586,0.04619,1344677.16,28322070
1586822400,2020-04-14 00:00:00,XLM/USD,0.04829,0.04913,0.0476,0.04814,1121644.87,23168272
1586736000,2020-04-13 00:00:00,XLM/USD,0.04898,0.04902,0.04605,0.04829,2298113.34,48588396
1586649600,2020-04-12 00:00:00,XLM/USD,0.04988,0.0516,0.04852,0.04898,1978540.37,39516561
1586563200,2020-04-11 00:00:00,XLM/USD,0.04779,0.04999,0.04756,0.04988,2195881.1,44668245
1586476800,2020-04-10 00:00:00,XLM/USD,0.05214,0.05241,0.04544,0.04779,2887900.18,59554885
1586390400,2020-04-09 00:00:00,XLM/USD,0.05138,0.05262,0.04878,0.05214,2905659.26,56942671
1586304000,2020-04-08 00:00:00,XLM/USD,0.04843,0.05159,0.04813,0.05138,2690986.88,53790860
1586217600,2020-04-07 00:00:00,XLM/USD,0.05,0.05152,0.04733,0.04843,4251657.49,84989066
1586131200,2020-04-06 00:00:00,XLM/USD,0.04358,0.05,0.0435,0.05,5973948.53,125197256
1586044800,2020-04-05 00:00:00,XLM/USD,0.04199,0.04365,0.04151,0.04358,1210333.32,28449153
1585958400,2020-04-04 00:00:00,XLM/USD,0.04142,0.0425,0.04091,0.04199,715698.45,17253175
1585872000,2020-04-03 00:00:00,XLM/USD,0.04129,0.04226,0.04061,0.04142,760885.77,18352722
1585785600,2020-04-02 00:00:00,XLM/USD,0.0409,0.04337,0.04052,0.04129,1327154.36,32004980
1585699200,2020-04-01 00:00:00,XLM/USD,0.04088,0.042,0.03886,0.0409,980907.15,24563224
1585612800,2020-03-31 00:00:00,XLM/USD,0.04006,0.04113,0.04002,0.04088,674754.88,16609790
1585526400,2020-03-30 00:00:00,XLM/USD,0.0378,0.0412,0.03762,0.04006,1232011.12,30862376
1585440000,2020-03-29 00:00:00,XLM/USD,0.04013,0.0402,0.03773,0.0378,947827.44,24285561
1585353600,2020-03-28 00:00:00,XLM/USD,0.0405,0.04082,0.0388,0.04013,1330812.72,33507355
1585267200,2020-03-27 00:00:00,XLM/USD,0.04302,0.04372,0.0402,0.0405,1925906.15,45610500
1585180800,2020-03-26 00:00:00,XLM/USD,0.04062,0.0431,0.03992,0.04302,1615501.47,39217845
1585094400,2020-03-25 00:00:00,XLM/USD,0.04058,0.04112,0.0392,0.04062,1171004.57,29245964
1585008000,2020-03-24 00:00:00,XLM/USD,0.03953,0.04075,0.03909,0.04058,1814733.83,45420000
1584921600,2020-03-23 00:00:00,XLM/USD,0.03676,0.04047,0.03619,0.03953,1721090.75,44942038
1584835200,2020-03-22 00:00:00,XLM/USD,0.03969,0.04058,0.0365,0.03676,1431634.48,37424517
1584748800,2020-03-21 00:00:00,XLM/USD,0.0399,0.04098,0.038,0.03969,1058079.43,26719687
1584662400,2020-03-20 00:00:00,XLM/USD,0.04151,0.04518,0.03542,0.0399,3674203.83,89596556
1584576000,2020-03-19 00:00:00,XLM/USD,0.03709,0.0433,0.03673,0.04151,3146801.11,78637697
1584489600,2020-03-18 00:00:00,XLM/USD,0.03746,0.03803,0.03424,0.03709,1769562.67,48956271
1584403200,2020-03-17 00:00:00,XLM/USD,0.03538,0.0385,0.03497,0.03746,1688492.07,45500920
